Date,Item,Rectification status,Description,Date
27Septmeber2025,"The kitchen needs reconfiguration- from Anil doctors wife- need hob in east, a door from kitchen to go out through west wall, at centre Need to think about reducing kitchenette space to accommodate a counter on east side.",No,,
26Septmeber2025,"Doctor needs a dressing space same as in Bed 2 and its upper counterpart , as wanted by his daughter. As permit drawing doesn’t have this, needs discussion.",No,,
01October2025,The ventilation joinery sizes and position need to be confirmed.,No,5cm above counter for low width vent in Common bath,
02October2025,Construction of the rainwater pipes over the wall awaits the go-ahead.,No,,
02October2025,"Bed 2 Dress window to be place along exterior side, frosted glass plus roller blind.",No,,
